atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_value,unit,qualifier,immediate_context,section_topic
V10EN-NUM-027,V10EN,5,4,22,,,M-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media 22 B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION 23 B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE GIVEN ON THE SAME DAY FOR ROUTINE EXAMINATI,B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATI
V10EN-NUM-028,V10EN,5,4,23,,,S MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media 22 B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION 23 B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE GIVEN ON THE SAME DAY FOR ROUTINE EXAMINATIONS? 24 B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IO,B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATI
V10EN-NUM-029,V10EN,6,5,26,,,C. MISCELLANEOUS 26 C.1. CONTRAST MEDIUM EXTRAVASATION 26 C.2. PULMONARY EFFECTS OF IODINE-BASED CONTRAST MEDIA 27 C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM 27 C.3.1,C. MISCELLANEOUS 26 C.1. CONTRAST MEDIUM EXTRAVASATION 26 C.2. PULMONARY EFFECTS OF
V10EN-NUM-030,V10EN,6,5,27,,,C. MISCELLANEOUS 26 C.1. CONTRAST MEDIUM EXTRAVASATION 26 C.2. PULMONARY EFFECTS OF IODINE-BASED CONTRAST MEDIA 27 C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM 27 C.3.1. Thrombosis 27 C.3.2. Sickle Cell Disease 28 C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING,C. MISCELLANEOUS 26 C.1. CONTRAST MEDIUM EXTRAVASATION 26 C.2. PULMONARY EFFECTS OF
V10EN-NUM-031,V10EN,6,5,27,,,T MEDIUM EXTRAVASATION 26 C.2. PULMONARY EFFECTS OF IODINE-BASED CONTRAST MEDIA 27 C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM 27 C.3.1. Thrombosis 27 C.3.2. Sickle Cell Disease 28 C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANGLIOMA) 28 C.5. PREGNANCY AND LACTATION 29 C,C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM 27 C.3.1. Thrombosis 27 C.3.2.
V10EN-NUM-032,V10EN,6,5,28,,,ENDOTHELIUM 27 C.3.1. Thrombosis 27 C.3.2. Sickle Cell Disease 28 C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANGLIOMA) 28 C.5. PREGNANCY AND LACTATION 29 C.6. INTERACTION WITH OTHER DRUGS AND CLINICAL TESTS 30 C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C,C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANG
V10EN-NUM-033,V10EN,6,5,29,,,s 27 C.3.2. Sickle Cell Disease 28 C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANGLIOMA) 28 C.5. PREGNANCY AND LACTATION 29 C.6. INTERACTION WITH OTHER DRUGS AND CLINICAL TESTS 30 C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadolinium retention in bo,C.5. PREGNANCY AND LACTATION 29 C.6. INTERACTION WITH OTHER DRUGS AND CLINICAL TESTS 3
V10EN-NUM-034,V10EN,6,5,31,,,") 28 C.5. PREGNANCY AND LACTATION 29 C.6. INTERACTION WITH OTHER DRUGS AND CLINICAL TESTS 30 C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadolinium retention in bone, liver and skin 32 C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9.",C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadoliniu
V10EN-NUM-035,V10EN,6,5,32,,,"ITH OTHER DRUGS AND CLINICAL TESTS 30 C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadolinium retention in bone, liver and skin 32 C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE",C.7. GADOLINIUM ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadoliniu
V10EN-NUM-036,V10EN,6,5,32,,,"ISSUES 31 C.7.1. Gadolinium retention in the brain 31 C.7.2. Gadolinium retention in bone, liver and skin 32 C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11. OFF-LABEL USE OF CONTRAST",C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST
V10EN-NUM-037,V10EN,6,5,33,,,"brain 31 C.7.2. Gadolinium retention in bone, liver and skin 32 C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11. OFF-LABEL USE OF CONTRAST AGENTS 35 D. QUESTIONNAIRES/LETTERS 36 D.1. A",C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST
V10EN-NUM-038,V10EN,6,5,34,,,"bone, liver and skin 32 C.7.3. Gadolinium contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11. OFF-LABEL USE OF CONTRAST AGENTS 35 D. QUESTIONNAIRES/LETTERS 36 D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE P",C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11
V10EN-NUM-039,V10EN,6,5,35,,,contamination of the environment 32 C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11. OFF-LABEL USE OF CONTRAST AGENTS 35 D. QUESTIONNAIRES/LETTERS 36 D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO TAKE TO THE ALLGERGY CONSULTATIO,C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11
V10EN-NUM-040,V10EN,6,5,35,,,AFETY OF ULTRASOUND CONTRAST AGENTS 33 C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11. OFF-LABEL USE OF CONTRAST AGENTS 35 D. QUESTIONNAIRES/LETTERS 36 D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO TAKE TO THE ALLGERGY CONSULTATION 36 D.2. QUESTIONNAIRE FOR IODINE-BASED C,C.9. SAFETY OF BARIUM CONTRAST MEDIA 34 C.10. PEDIATRIC USE OF CONTRAST AGENTS 35 C.11
V10EN-NUM-041,V10EN,6,5,36,,,.11. OFF-LABEL USE OF CONTRAST AGENTS 35 D. QUESTIONNAIRES/LETTERS 36 D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO TAKE TO THE ALLGERGY CONSULTATION 36 D.2. QUESTIONNAIRE FOR IODINE-BASED CONTRAST MEDIA ADMINISTRATION TO BE COMPLETED BY THE REFERRING CLINICIAN 38 D.3. QUESTIONNAIRE FOR GADOLINIUM-BASED CONTRAS,D. QUESTIONNAIRES/LETTERS 36 D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO
V10EN-NUM-042,V10EN,6,5,39,,,TO BE COMPLETED BY THE REFERRING CLINICIAN 38 D.3. QUESTIONNAIRE FOR GADOLINIUM-BASED CONTRAST AGENT ADMINISTRATION TO BE COMPLETED BY THE REFERRING CLINICIAN 39 E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committee 40 Appendix 2. Contrast Media Safety Committee - Spring 2018 43 Terminolo,D.3. QUESTIONNAIRE FOR GADOLINIUM-BASED CONTRAST AGENT ADMINISTRATION TO BE COMPLETED
V10EN-NUM-043,V10EN,6,5,40,,,D BY THE REFERRING CLINICIAN 38 D.3. QUESTIONNAIRE FOR GADOLINIUM-BASED CONTRAST AGENT ADMINISTRATION TO BE COMPLETED BY THE REFERRING CLINICIAN 39 E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committee 40 Appendix 2. Contrast Media Safety Committee - Spring 2018 43 Terminology: Contrast ag,E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committe
V10EN-NUM-044,V10EN,6,5,40,,,NTRAST AGENT ADMINISTRATION TO BE COMPLETED BY THE REFERRING CLINICIAN 39 E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committee 40 Appendix 2. Contrast Media Safety Committee - Spring 2018 43 Terminology: Contrast agents and contrast media A contrast agent is a substance which alters the c,E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committe
V10EN-NUM-045,V10EN,6,5,2018,,,RING CLINICIAN 39 E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committee 40 Appendix 2. Contrast Media Safety Committee - Spring 2018 43 Terminology: Contrast agents and contrast media A contrast agent is a substance which alters the contrast in images produced by any method. It is a general,E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committe
V10EN-NUM-046,V10EN,6,5,43,,,CLINICIAN 39 E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committee 40 Appendix 2. Contrast Media Safety Committee - Spring 2018 43 Terminology: Contrast agents and contrast media A contrast agent is a substance which alters the contrast in images produced by any method. It is a general ter,E. APPENDIX 40 Appendix 1. Publications from the ESUR Contrast Media Safety Committe
V10EN-NUM-047,V10EN,7,6,1,hour,within,A. GENERAL ADVERSE REACTIONS A.1. ACUTE ADVERSE REACTIONS Definition: An adverse reaction which occurs within 1 hour of contrast agent injection. The same acute adverse reactions are seen after iodine- and gadolinium-based contrast agents and after ultrasound contrast agents.,A. GENERAL ADVERSE REACTIONS A.1. ACUTE ADVERSE REACTIONS Definition: An adverse rea
V10EN-NUM-048,V10EN,7,6,1,,,actions may or may not be true IgE mediated allergy. Hypersensitivity/ Grade Chemotoxic Allergy-like (Ring and Messmer classification Mild Mild urticaria Grade 1 Nausea/mild Mild itching Grade 1 vomiting Erythema Grade 1 Warmth/chills Anxiety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grad,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-049,V10EN,7,6,1,,,E mediated allergy. Hypersensitivity/ Grade Chemotoxic Allergy-like (Ring and Messmer classification Mild Mild urticaria Grade 1 Nausea/mild Mild itching Grade 1 vomiting Erythema Grade 1 Warmth/chills Anxiety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronc,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-050,V10EN,7,6,1,,,ensitivity/ Grade Chemotoxic Allergy-like (Ring and Messmer classification Mild Mild urticaria Grade 1 Nausea/mild Mild itching Grade 1 vomiting Erythema Grade 1 Warmth/chills Anxiety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/lar,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-051,V10EN,7,6,1,,,ausea/mild Mild itching Grade 1 vomiting Erythema Grade 1 Warmth/chills Anxiety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Ca,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-052,V10EN,7,6,2,,,hema Grade 1 Warmth/chills Anxiety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that wh,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-053,V10EN,7,6,2,,,ety Vasovagal reaction which resolves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that what at first appears to be a mil,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-054,V10EN,7,6,3,,,lves spontaneously Moderate Marked urticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that what at first appears to be a mild reaction may develop into a mor,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-055,V10EN,7,6,4,,,ticaria Grade 1 Vasovagal reaction Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that what at first appears to be a mild reaction may develop into a more serious reaction. • Not all symptom,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-056,V10EN,7,6,4,,,Mild bronchospasm Grade 2 Facial/laryngeal edema Grade 2 Severe Hypotensive shock Grade 3 Arrythmia Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that what at first appears to be a mild reaction may develop into a more serious reaction. • Not all symptoms experienced by patients in the h,gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-057,V10EN,7,6,6,,,"t agent administation (Lalli effect). • When a new contrast agent is first introduced to a department, adverse effects tend to be over-reported (Weber effect). 6 A. GENERAL ADVERSE REACTIONS",gadolinium-based contrast agents and after ultrasound contrast agents. The incidence is high
V10EN-NUM-058,V10EN,8,7,30,minutes,after,te reaction For all patients • Have the drugs and equipment for resuscitation readily available (see A.1.2.1.). • Keep the patient in a medical environment for 30 minutes after contrast agent injection. A. GENERAL ADVERSE REACTIONS 7,e. Risk factors for acute reactions Patient related Patients with a history of: • Pr
V10EN-NUM-059,V10EN,8,7,7,,,ation readily available (see A.1.2.1.). • Keep the patient in a medical environment for 30 minutes after contrast agent injection. A. GENERAL ADVERSE REACTIONS 7,A. GENERAL ADVERSE REACTIONS 7
V10EN-NUM-060,V10EN,9,8,"1:1,000",ratio,,"ts. A.1.2.1. Be prepared to treat acute adverse reactions First line emergency drugs and equipment which should be in the examination room: Oxygen Adrenaline 1:1,000 Antihistamine H1 - suitable for injection Atropine ß2-agonist metered dose inhaler I.V. fluids - normal saline or Ringer‘s solution Anti-convulsive drugs (diaz",A.1.2.1. Be prepared to treat acute adverse reactions First line emergency drugs and equip
V10EN-NUM-061,V10EN,9,8,30,minutes,after,"technique. • Equipment for collecting blood for tryptase and histamine measurement should be readily available. • Keep the patient in a medical environment for 30 minutes after contrast agent injection. A.1.2.2. Simple guidelines for first line treatment of acute reactions to all contrast agents When an acute reaction occurs, ch",A.1.2.1. Be prepared to treat acute adverse reactions First line emergency drugs and equip
