atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_phrase,surrounding_context,section_topic
V10EN-REC-011,V10EN,8,7,is not recommended,"rs: use factors above) a different contrast agent, preferably after consultation with a specialist in drug allergy. • Premedication is not recommended because there is not good evidence of its effectiveness Be prepared for an acute reaction For all patients • Have the drugs and equipment for resuscitation",A.1.1. Acute adverse reactions to iodine- and gadolinium-
V10EN-REC-012,V10EN,9,8,should,"fter iodine- and gadolinium-based and ultrasound contrast agents. A.1.2.1. Be prepared to treat acute adverse reactions First line emergency drugs and equipment which should be in the examination room: Oxygen Adrenaline 1:1,000 Antihistamine H1 - suitable for injection Atropine ß2-agonist metered dose inhaler I.V. flu",A.1.2.1. Be prepared to treat acute adverse reactions
V10EN-REC-013,V10EN,9,8,should,luids - normal saline or Ringer‘s solution Anti-convulsive drugs (diazepam) Sphygmomanometer One-way mouth ‚breather‘ apparatus • Resuscitation trolley should be available in the department. • Emergency numbers for the hospital resuscitation team should be in the examination room. • Medical and tech,A.1.2.1. Be prepared to treat acute adverse reactions
V10EN-REC-014,V10EN,9,8,should,‚breather‘ apparatus • Resuscitation trolley should be available in the department. • Emergency numbers for the hospital resuscitation team should be in the examination room. • Medical and technical staff should receive regular education in the management of acute adverse reactions and,A.1.2.1. Be prepared to treat acute adverse reactions
V10EN-REC-015,V10EN,9,8,should,e in the department. • Emergency numbers for the hospital resuscitation team should be in the examination room. • Medical and technical staff should receive regular education in the management of acute adverse reactions and in resuscitation technique. • Equipment for collecting blood for,A.1.2.1. Be prepared to treat acute adverse reactions
V10EN-REC-016,V10EN,9,8,should,nagement of acute adverse reactions and in resuscitation technique. • Equipment for collecting blood for tryptase and histamine measurement should be readily available. • Keep the patient in a medical environment for 30 minutes after contrast agent injection. A.1.2.2. Simple guidelines for first,A.1.2.1. Be prepared to treat acute adverse reactions
V10EN-REC-017,V10EN,10,9,should,"Nausea/vomiting Transient: supportive treatment. Severe, protracted: appropriate antiemetic drugs should be considered. Note: severe vomiting may occur during anaphylaxis. Urticaria Scattered, transient: supportive treatment including observation. Scattered, protracted or generalized",
V10EN-REC-018,V10EN,10,9,may,"Nausea/vomiting Transient: supportive treatment. Severe, protracted: appropriate antiemetic drugs should be considered. Note: severe vomiting may occur during anaphylaxis. Urticaria Scattered, transient: supportive treatment including observation. Scattered, protracted or generalized or angioedema: appropriate H1-antihistam",
V10EN-REC-019,V10EN,10,9,should,"ur during anaphylaxis. Urticaria Scattered, transient: supportive treatment including observation. Scattered, protracted or generalized or angioedema: appropriate H1-antihistamine should be given intramuscularly or intravenously. Drowsiness and/or hypotension may occur. After administration of anithistamines, the patient may no longer be insured to drive a car or",
V10EN-REC-020,V10EN,10,9,may,"uding observation. Scattered, protracted or generalized or angioedema: appropriate H1-antihistamine should be given intramuscularly or intravenously. Drowsiness and/or hypotension may occur. After administration of anithistamines, the patient may no longer be insured to drive a car or operate machinery. Bronchospasm 1. Oxygen by mask (6-10 l/min). 2. β-2-agonis",
V10EN-REC-021,V10EN,10,9,may,"oedema: appropriate H1-antihistamine should be given intramuscularly or intravenously. Drowsiness and/or hypotension may occur. After administration of anithistamines, the patient may no longer be insured to drive a car or operate machinery. Bronchospasm 1. Oxygen by mask (6-10 l/min). 2. β-2-agonist metered dose inhaler (2-3 deep inhalations). 3. Adrenaline No",
V10EN-REC-022,V10EN,11,10,necessary,"ction (hypotension and bradycardia) 1. Elevate patient’s legs. 2. Oxygen by mask (6-10 l/min). 3. Atropine 0.6-1.0 mg intravenously - repeat if necessary after 3-5 min, to 3 mg total (0.04 mg/kg) in adults. In pediatric patients give 0.02 mg/kg intravenously (max 0.6 mg per dose) - repea",
V10EN-REC-023,V10EN,11,10,necessary,"r 3-5 min, to 3 mg total (0.04 mg/kg) in adults. In pediatric patients give 0.02 mg/kg intravenously (max 0.6 mg per dose) - repeat if necessary to 2 mg total. 4. Intravenous fluids: rapidly, normal saline or Ringer’s solution, up to 2 litres. 5. If the patient does not respond to the",
V10EN-REC-024,V10EN,11,10,should,1 and 2 hours after contrast agent administration and at 24 hours if the patient is still in the hospital. • 1 to 6 months after the reaction the patient should be referred to a specialist in drug allergy to have skin testing. Prick and intradermal tests should be used to check for evidence of tru,A.1.2.3. After a moderate or severe acute adverse reaction
V10EN-REC-025,V10EN,11,10,should,• 1 to 6 months after the reaction the patient should be referred to a specialist in drug allergy to have skin testing. Prick and intradermal tests should be used to check for evidence of true allergy to the contrast agent and for evidence of cross-reactivity to other contrast agents. • An exa,A.1.2.3. After a moderate or severe acute adverse reaction
V10EN-REC-026,V10EN,12,11,should,"• If the reaction is severe or unusual, report it to the national pharmacovigilance authority. A.1.2.4. Review of treatment protocols Radiologists and their staff should review treatment protocols regularly (e.g. at 12 monthly intervals), so that each can accomplish their role efficiently. Knowledge, training, and preparation",A.1.2.4. Review of treatment protocols
V10EN-REC-027,V10EN,12,11,may,"ne-based contrast medium before administration • Appears to make the patient more comfortable, based on clinical observation. • Reduces viscosity and may reduce the risk of contrast medium extravasation. • May reduce the rate of general adverse events, but data on this is limited. • Is widely regarde",A.1.3. Warming iodine-based contrast medium before
V10EN-REC-028,V10EN,12,11,May,"o make the patient more comfortable, based on clinical observation. • Reduces viscosity and may reduce the risk of contrast medium extravasation. • May reduce the rate of general adverse events, but data on this is limited. • Is widely regarded as best practice. A.1.4. Extravascular administration of an iodine-ba",A.1.3. Warming iodine-based contrast medium before
V10EN-REC-029,V10EN,12,11,recommended,venous administration of contrast agents dates from the time when high-osmolar iodine-based contrast media were used and many patients vomited. Fasting is not recommended before administration of low- or iso-osmolar non-ionic iodine-based contrast media or of gadolinium-based agents. A. GENER,A.1.5. Fasting before administration of contrast agents
V10EN-REC-030,V10EN,13,12,should,"s and emollients. Recommendations Patients who have had a previous contrast medium reaction, or who are on interleukin-2 treatment should be advised that a late skin reaction is possible and that they should contact a doctor if they have a problem.",A.2. LATE ADVERSE REACTIONS
V10EN-REC-031,V10EN,13,12,should,"medium reaction, or who are on interleukin-2 treatment should be advised that a late skin reaction is possible and that they should contact a doctor if they have a problem. Patch and delayed reading intradermal tests may be useful to confi",A.2. LATE ADVERSE REACTIONS
V10EN-REC-032,V10EN,13,12,may,e and that they should contact a doctor if they have a problem. Patch and delayed reading intradermal tests may be useful to confirm a late skin reaction to contrast medium and to study cross-reactivity patterns with other agents.,A.2. LATE ADVERSE REACTIONS
V10EN-REC-033,V10EN,13,12,Avoid,"To reduce the risk of repeat reaction, use a contrast medium other than that which precipitated the first reaction. Avoid agents which have shown cross-reactivity on skin testing. Drug prophylaxis is generally not recommended. Note: Late s",A.2. LATE ADVERSE REACTIONS
V10EN-REC-034,V10EN,13,12,not recommended,precipitated the first reaction. Avoid agents which have shown cross-reactivity on skin testing. Drug prophylaxis is generally not recommended. Note: Late skin reactions of the type which occur after iodine-based contrast media have not been described after gadolinium-based and ultraso,A.2. LATE ADVERSE REACTIONS
V10EN-REC-035,V10EN,14,13,should,are elderly and/or live in an area of dietary iodine deficiency. Not at risk Patients with normal thyroid function. Recommendations Iodine-based contrast media should not be given to patients with manifest hyperthyroidism. • In patients suspected of being at risk of thyrotoxicosi,A.3.1. Very late adverse reactions to iodine-based contrast
V10EN-REC-036,V10EN,14,13,may,"t be given to patients with manifest hyperthyroidism. • In patients suspected of being at risk of thyrotoxicosis, TSH measurement may be helpful. • In selected high-risk patients, prophylactic treatment may be given by an endocrinologist. • Pati",A.3.1. Very late adverse reactions to iodine-based contrast
V10EN-REC-037,V10EN,14,13,may,"k of thyrotoxicosis, TSH measurement may be helpful. • In selected high-risk patients, prophylactic treatment may be given by an endocrinologist. • Patients at risk should be closely monitored by endocrinologists after iodine-based contrast",A.3.1. Very late adverse reactions to iodine-based contrast
V10EN-REC-038,V10EN,14,13,should,"helpful. • In selected high-risk patients, prophylactic treatment may be given by an endocrinologist. • Patients at risk should be closely monitored by endocrinologists after iodine-based contrast medium injection. • Intravenous cholangiographic contrast",A.3.1. Very late adverse reactions to iodine-based contrast
V10EN-REC-039,V10EN,14,13,should not,endocrinologists after iodine-based contrast medium injection. • Intravenous cholangiographic contrast media should not be given to patients at risk. A. GENERAL ADVERSE REACTIONS 13,A.3.1. Very late adverse reactions to iodine-based contrast
V10EN-REC-040,V10EN,15,14,should,m-based contrast agents: nephrogenic systemic fibrosis (NSF) Diagnosis A diagnosis of nephrogenic systemic fibrosis (NSF) should only be made if the Yale NSF Registry clinical and histopathological criteria are met (J Am Acad Dermatol 2011; 65: 1095-,A.3.2. Very late adverse reactions to gadolinium-based
V10EN-REC-041,V10EN,15,14,may,"Later changes include fibrotic thickening of the skin and subcutaneous tissues and limb contractures may occur. Fibrosis of internal organs, e.g. muscle, diaphragm, heart, liver, lungs may also occur.",A.3.2. Very late adverse reactions to gadolinium-based
V10EN-REC-042,V10EN,15,14,may,"contractures may occur. Fibrosis of internal organs, e.g. muscle, diaphragm, heart, liver, lungs may also occur. There may be death if involvement of internal organs is severe. RISK FACTORS Patient related •",A.3.2. Very late adverse reactions to gadolinium-based
V10EN-REC-043,V10EN,15,14,may,"Fibrosis of internal organs, e.g. muscle, diaphragm, heart, liver, lungs may also occur. There may be death if involvement of internal organs is severe. RISK FACTORS Patient related • Reduced renal function, particularly if eGFR",A.3.2. Very late adverse reactions to gadolinium-based
V10EN-REC-044,V10EN,15,14,may,"dimeglumine and gadoversetamide. • Risk increases with increasing contrast agent dose, but NSF may occur after a single dose. Estimated incidence • 3-18 % after gadodiamide. in patients with • 0.1-1 % after gadopentetate dimeglum",A.3.2. Very late adverse reactions to gadolinium-based
V10EN-REC-045,V10EN,16,15,may,keting Authorization Holder has withdrawn Optimark® from the European market. • EMA states that Magnevist® may be used for arthrography. • CMSC supports these recommendations. Intermediate risk of NSF Contrast agents Gadobenate dimeglu,GADOLINIUM-BASED CONTRAST AGENTS:
V10EN-REC-046,V10EN,17,16,should,clic chelate (DOTA) Gadoteridol (Prohance®) Ligand: Non-ionic cyclic chelate (HP-DO3A) Recommendations • These agents should be used with CAUTION in patients with GFR < 30 ml/min. There should be at least 7 days between two,
V10EN-REC-047,V10EN,17,16,should,late (HP-DO3A) Recommendations • These agents should be used with CAUTION in patients with GFR < 30 ml/min. There should be at least 7 days between two injections. • Pregnant women: these agents can be used to give ess,
V10EN-REC-048,V10EN,17,16,at least,O3A) Recommendations • These agents should be used with CAUTION in patients with GFR < 30 ml/min. There should be at least 7 days between two injections. • Pregnant women: these agents can be used to give essential diagn,
V10EN-REC-049,V10EN,17,16,necessary,"• Lactating women: discarding the breast milk in the 24 hours after contrast medium is not considered necessary, but the patient can discuss with the doctor whether she wishes to do this. • Laboratory testing",
V10EN-REC-050,V10EN,17,16,necessary,ly well-indicated for all patients enhanced MR-examination. In all patients use the smallest amount of contrast medium necessary for a diagnostic result. Always record the name and dose of the contrast agent used in the patient re,
V10EN-REC-051,V10EN,18,17,recommended,"a- renal arteries. B.1. MEASUREMENT OF RENAL FUNCTION • Estimated glomerular filtration rate (eGFR), calculated from the serum creatinine, is the recommended method to estimate renal function before contrast agent administration. • In adults ≥ 18 years the CKD-EPI formula is recommended",B.1. MEASUREMENT OF RENAL FUNCTION
V10EN-REC-052,V10EN,18,17,is recommended,"atinine, is the recommended method to estimate renal function before contrast agent administration. • In adults ≥ 18 years the CKD-EPI formula is recommended to calculate eGFR. eGFR (ml/min/1.73 m2) = Female sCr ≤ 62 µmol/l: 144 x (sCr / 62)-0.329 x 0.993Age Female sCr > 62 µmol/l: 14",B.1. MEASUREMENT OF RENAL FUNCTION
V10EN-REC-053,V10EN,18,17,recommended,"3Age (sCr in µmol/l; age in years) All equations x 1.159 if African American race. • In children, the revised Schwartz formula is recommended to calculate eGFR eGFR (ml/min/1.73 m2) = 36.5 x length / sCr (sCr in µmol/l; length in cm) Note: Neither serum nor plasma creatinine is an id",B.1. MEASUREMENT OF RENAL FUNCTION
V10EN-REC-054,V10EN,18,17,may,"73 m2) = 36.5 x length / sCr (sCr in µmol/l; length in cm) Note: Neither serum nor plasma creatinine is an ideal indicator of renal function and may miss decreased renal function. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 17",B.1. MEASUREMENT OF RENAL FUNCTION
V10EN-REC-055,V10EN,20,19,Consider,ial administration with second pass renal exposure as closely as clinical circumstances permit. B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an alternative imaging method not (see above) using iodine-based contrast media. • Intravenous saline and bicarbonate protoc,B.2.2. Before the Examination
V10EN-REC-056,V10EN,20,19,should,ine 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsible for patient care should individualize preventive hydration in patients with severe congestive heart failure (NYHA grade 3-4) or patients with end-stage,B.2.2. Before the Examination
V10EN-REC-057,V10EN,20,19,is not recommended,"t failure (NYHA grade 3-4) or patients with end-stage renal failure (eGFR < 15 ml/min/1.73 m2). • Oral hydration is not recommended as the sole method of preventive hydration. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 19",B.2.2. Before the Examination
V10EN-REC-058,V10EN,21,20,Consider,EMERGENCY EXAMINATION At-risk patients • Consider an alternative imaging method not (see above) using iodine-based contrast media. • Use preventive hydration before contrast,
V10EN-REC-059,V10EN,21,20,at least,"medium administration. • If at 48 hours there is a diagnosis of PC-AKI, monitor the patient clinically for at least 30 days and determine eGFR at regular intervals. Note: No pharmacological prophylaxis (with statins, renal",B.2.4. After the Examination
V10EN-REC-060,V10EN,22,21,should,e myeloma patients often have hypercalcemia which can increase the risk of kidney damage. Correction of hypercalcemia before contrast medium administration should be discussed with the hematologist. • Assessment for Bence Jones proteinuria before contrast medium administration is not necessary. B.3. R,B.2.5. Multiple myeloma patients
V10EN-REC-061,V10EN,22,21,necessary,m administration should be discussed with the hematologist. • Assessment for Bence Jones proteinuria before contrast medium administration is not necessary. B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM- BASED CONTRAST MEDIA MR-EXAMINATIONS • The risk of PC-AKI is very low when gadolinium-based,B.2.5. Multiple myeloma patients
V10EN-REC-062,V10EN,22,21,should not,RADIOGRAPHIC EXAMINATIONS • Gadolinium-based contrast agents are not approved for radiographic examinations. • Gadolinium-based contrast agents should not be used for radiographic examinations in patients with renal impairment (eGFR < 60 ml/min/1.73 m2). • Gadolinium-based contrast agents are more n,B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-
V10EN-REC-063,V10EN,23,22,necessary,and restart metformin if renal function has not changed significantly. B.4.2. Gadolinium-based contrast media No special precautions are necessary when diabetic patients on metformin are given gadolinium-based contrast agents as the risk of PC-AKI is very low. 22 B. RENAL ADVERSE REACTIONS (POS,B.4.2. Gadolinium-based contrast media
V10EN-REC-064,V10EN,24,23,avoid,"hemodialysis protects patients with impaired renal function from post contrast acute kidney injury or nephrogenic systemic fibrosis. In all patients, avoid osmotic and fluid overload. To avoid the risk of NSF refer to A.3.2. PATIENTS ON DIALYSIS Patients on Iodine-based contrast medium hemodialysis • C",B.5. DIALYSIS AND CONTRAST MEDIUM
V10EN-REC-065,V10EN,24,23,avoid,"mpaired renal function from post contrast acute kidney injury or nephrogenic systemic fibrosis. In all patients, avoid osmotic and fluid overload. To avoid the risk of NSF refer to A.3.2. PATIENTS ON DIALYSIS Patients on Iodine-based contrast medium hemodialysis • Correlation of time of the contrast medium",B.5. DIALYSIS AND CONTRAST MEDIUM
V10EN-REC-066,V10EN,24,23,recommended,rast agent • Correlation of time of the contrast agent injection with the hemodialysis session is recommended. • Extra hemodialysis session to remove contrast agent as soon as possible after it has been admi,B.5. DIALYSIS AND CONTRAST MEDIUM
V10EN-REC-067,V10EN,24,23,is recommended,• Extra hemodialysis session to remove contrast agent as soon as possible after it has been administered is recommended. Patients on Iodine-based contrast medium continuous Hemodialysis to remove the contrast medium ambulatory is unnecessary. peritonea,B.5. DIALYSIS AND CONTRAST MEDIUM
V10EN-REC-068,V10EN,24,23,should,"dium ambulatory is unnecessary. peritoneal dialysis Gadolinium-based contrast agent The need for hemodialysis should be discussed with the referring physician. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 23",B.5. DIALYSIS AND CONTRAST MEDIUM
V10EN-REC-069,V10EN,25,24,may,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE GIVEN ON THE SAME DAY FOR ROUTINE EXAMINATIONS? Efficient practice may involve giving iodine- and gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any potential for nephrotoxicity the followin,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-070,V10EN,25,24,recommended,dine- and gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any potential for nephrotoxicity the following are recommended: 1. Patients with normal renal function or moderately reduced (GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contra,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-071,V10EN,25,24,should,(GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of iodine- and gadolinium-based contrast agents. 2. Patients with severely reduced renal function,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-072,V10EN,25,24,should,um-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2 or on dialysis). There should be 7 days between injections of iodine- and gadolinium-based contrast agents. Note: Gadolinium-based contrast agents attenuate X-rays well a,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-073,V10EN,25,24,may,"7 days between injections of iodine- and gadolinium-based contrast agents. Note: Gadolinium-based contrast agents attenuate X-rays well and may be misinterpreted on CT when they have been excreted into the urinary tract. For abdominal examinations, enhanced CT should be done before enhanced MR. For",B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-074,V10EN,25,24,should,"enuate X-rays well and may be misinterpreted on CT when they have been excreted into the urinary tract. For abdominal examinations, enhanced CT should be done before enhanced MR. For chest and brain examinations, either CT or MR may be done first. 24 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJUR",B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-075,V10EN,25,24,may,"creted into the urinary tract. For abdominal examinations, enhanced CT should be done before enhanced MR. For chest and brain examinations, either CT or MR may be done first. 24 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST
V10EN-REC-076,V10EN,26,25,SHOULD,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-077,V10EN,26,25,should,ly reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of iodine-based contrast medium is excreted by 4 hours after administration. There should be 4 hours between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2).,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-078,V10EN,26,25,should,between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2). There should be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-079,V10EN,26,25,should,There should be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at least 48 hours between injections of iodine-based contrast medium. B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-080,V10EN,26,25,at least,uld be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at least 48 hours between injections of iodine-based contrast medium. B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJEC,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-081,V10EN,26,25,SHOULD,on dialysis. If there is remnant renal function there should be at least 48 hours between injections of iodine-based contrast medium. B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal functio,B.8. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-082,V10EN,26,25,should,(GFR > 30 ml/min/1.73 m2). 75 % of extracellular gadolinium-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2) o,B.8. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-083,V10EN,26,25,should,"gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2) or on dialysis. There should be 7 days between injections of gadolinium- based contrast agent B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 25",B.8. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-084,V10EN,27,26,optimal,"soft-tissue necrosis, and compartment syndrome. RISK FACTORS Technique-related • Use of a power injector. • Less optimal injection sites including lower limb and small distal veins. • Large volume of contrast medium. • H",C.1. CONTRAST MEDIUM EXTRAVASATION
V10EN-REC-085,V10EN,27,26,should,• Compromised lymphatic and/or venous drainage. • Obesity. To reduce the risk • Intravenous technique should always be meticulous using an appropriate sized plastic cannula placed in a suitable vein to handle,C.1. CONTRAST MEDIUM EXTRAVASATION
V10EN-REC-086,V10EN,27,26,Consider,ed plastic cannula placed in a suitable vein to handle the flow rate used during the injection. • Consider use of cannulas with sideholes. • Test injection with normal saline. • Use non-ionic iodine-based contrast,C.1. CONTRAST MEDIUM EXTRAVASATION
V10EN-REC-087,V10EN,27,26,may,"Management • Documenting the extravasation with a plain radiograph, CT scan or MR scan of the affected region may be helpful. • Conservative management is adequate in most cases. • Limb elevation",C.1. CONTRAST MEDIUM EXTRAVASATION
V10EN-REC-088,V10EN,28,27,Avoid,History of pulmonary hypertension. • Incipient cardiac failure. To reduce the risk of • Use low- or iso-osmolar contrast media. pulmonary adverse • Avoid large doses of contrast media. effects C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM C.3.1. Thrombosis C.3.1.1. Iodine-based contrast media The clini,C.2. PULMONARY EFFECTS OF IODINE-BASED
V10EN-REC-089,V10EN,28,27,may,"thrombosis. It is recognized that: • All contrast media have anticoagulant properties, especially ionic agents. • High-osmolar ionic contrast media may induce thrombosis due to endothelial damage, particularly in phlebographic procedures. • Drugs and interventional devices that decrease the risk",C.3.1.1. Iodine-based contrast media
V10EN-REC-090,V10EN,28,27,should,culous angiographic technique is mandatory and is the most important factor in reducing thromboembolic complications. • Low- or iso-osmolar contrast media should be used for diagnostic and interventional angiographic procedures including phlebography. C. MISCELLANEOU,C.3.1.1. Iodine-based contrast media
V10EN-REC-091,V10EN,29,28,may,"C.3.2. Sickle Cell Disease C.3.2.1. Iodine-based contrast media • In patients with sickle cell disease, high-osmolar iodine- based contrast media may cause red cell sickling, leading to hemolysis and small vessel occlusion. • Low- or iso-osmolar iodine-based contrast media produce no more",C.3.2.1. Iodine-based contrast media
V10EN-REC-092,V10EN,29,28,necessary,been reported after gadolinium-based contrast agents. Guidelines • Use any gadolinium-based contrast agent. • No special preparation is necessary. C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANGLIOMA) Preparation a) Before intrav,C.3.2.2. Gadolinium-based contrast media
V10EN-REC-093,V10EN,29,28,required,OCYTOMA AND PARAGANGLIOMA) Preparation a) Before intravenous iodine- or gadolinium-based contrast agent: no special preparation is required. b) Before intra-arterial iodine-based contrast medium: α and β-adrenergic blockade with orally administered drugs under the supervision of the,C.4. CONTRAST AGENTS AND CATECHOLAMINE
V10EN-REC-094,V10EN,29,28,is recommended,re intra-arterial iodine-based contrast medium: α and β-adrenergic blockade with orally administered drugs under the supervision of the referring physician is recommended. Type of contrast agent which should be used • Iodine-based: non-ionic agent. • Gadolinium-based: any agent. 28 C. MISCELLANEOUS,C.4. CONTRAST AGENTS AND CATECHOLAMINE
